レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042603010601,2026.4.26,日,福島,1福6,1,,未勝利,ダート,1150,,2,良,晴,16,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,シェイプオブユー,,牝,3,2,4,11,福島,D,1150,良,2,7,未勝利,37.8,逃げ,20,11,24,福島,D,1150,良,5,5,未勝利*,39.0,先行,5,10,18,京都,D,1400,稍,6,10,新馬,38.7,逃げ,連,10,11,京都,T,1400,良,消,--,新馬・牝,----,,初,,,,,,,,,,,,
1,,2,,,,,ヤスナ,,牝,3,16,1,5,京都,D,1200,良,14,11,新馬,39.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,メインテーマ,,牝,3,16,1,4,中山,D,1200,稍,9,8,未勝利・牝,40.6,逃げ,2,12,20,中山,D,1200,良,6,4,未勝利*,38.7,中団,5,11,15,東京,T,1600,良,8,10,新馬・牝,35.0,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ジューンミレニアム,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,カッサンドラ,,牝,3,10,2,14,小倉,D,1000,良,6,8,未勝利,36.5,中団,3,1,24,小倉,D,1000,良,5,10,未勝利,36.2,中団,10,11,16,東京,T,1400,良,18,8,未勝利・牝*,36.7,逃げ,7,9,28,阪神,T,1400,良,8,10,未勝利・牝*,35.4,中団,7,8,10,札幌,T,1500,良,8,8,新馬・牝,36.3,先行,初
3,,6,,,,,ペイシャクロス,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ドリームガッサン,,牝,3,8,2,28,中山,D,1200,重,7,6,未勝利,37.7,先行,8,1,5,中山,D,1200,稍,6,12,未勝利,37.9,中団,8,11,9,福島,D,1150,良,8,10,未勝利*,38.6,中団,8,9,15,中山,D,1200,良,14,4,未勝利*,41.8,逃げ,5,8,10,新潟,D,1200,稍,6,8,新馬,40.4,逃げ,初
4,,8,,,,,フレンドリーエール,,牝,3,6,3,15,中山,D,1200,良,14,7,未勝利,40.8,逃げ,12,12,21,中山,T,1600,重,15,11,未勝利*,39.7,先行,14,9,14,中山,D,1200,稍,8,6,未勝利・牝*,39.7,中団,5,8,9,新潟,D,1200,良,4,8,未勝利*,38.4,先行,4,7,12,福島,D,1150,良,3,8,新馬,37.7,先行,初
5,,9,,,,,ブロンディ,,牝,3,13,1,25,小倉,T,1200,良,15,8,新馬,36.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,トゥレイス,,牝,3,5,3,21,中京,D,1200,良,11,7,未勝利・牝,39.5,先行,22,10,19,新潟,T,1400,稍,9,7,新馬,36.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,トモジャカトゥーラ,,牝,3,4,3,29,阪神,D,1400,良,16,12,未勝利,40.1,中団,3,3,8,阪神,D,1400,良,5,11,未勝利,38.9,先行,3,2,12,名古,D,1500,稍,3,3,名古屋,----,先行,5,1,11,京都,D,1800,良,11,11,新馬・牝,41.5,中団,初,,,,,,,,,,,,
6,,12,,,,,モズオウンゴール,,牝,3,8,2,28,阪神,D,1400,良,7,4,未勝利・牝,39.5,先行,3,2,10,京都,D,1400,良,2,7,未勝利・牝,38.6,先行,3,1,17,京都,D,1400,良,5,5,新馬・牝,37.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ラブデウザ,,牝,3,5,3,21,中山,D,1200,良,6,5,未勝利・牝,39.5,先行,3,3,1,小倉,D,1000,稍,4,13,未勝利,35.9,差し,4,1,29,佐賀,D,1400,良,6,2,ノカイ,----,中団,11,11,15,東京,D,1400,良,11,8,未勝利・牝*,40.8,先行,3,10,26,東京,D,1400,不,6,10,未勝利*,37.2,先行,2
7,,14,,,,,マーゴットオーメン,,牝,3,7,3,7,中山,D,1200,重,9,8,未勝利・牝,38.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
